"boardgamegeek.com game ID",title,yearpublished,playingtime,minplaytime,maxplaytime,minage,minplayers,maxplayers,categories,mechanics,families,designers,artists,publishers,"numplayervotes (1B 1R 1N 2B 2R 2N ...)","agevotes (2 3 4 5 6 8 10 12 14 16 18 21+)","textuse (no some mod ext max)"
2993,"Carcassonne: Expansion 1 – Inns & Cathedrals",2002,60,60,60,8,2,6,"1029 1042 1035 1086","2080 2002","2 11006","398","74 43873 14057 398","267 4304 9074 6784 7162 24631 2366 22560 5657 5530 133 5020 6214 8291 3218 7992 22 3 131 538","0 4 87 68 52 6 81 42 3 40 76 6 12 59 37 10 50 44 0 3 81","0 0 0 0 11 29 7 1 0 0 0 0","57 0 0 0 0"
41,"Can't Stop",1980,30,30,30,9,2,4,"1017","2072 2661","","4","57603 2946 12895","157 4680 1772 597 253 1705 151 920 9881 417 28 34","0 2 89 44 88 6 97 51 1 47 65 24 1 5 84","0 0 0 2 23 17 1 0 0 0 0 0","46 0 0 0 0"
84876,"The Castles of Burgundy",2011,90,30,90,12,2,4,"1017 1035 1086","2072 2004 2002 2079","58 11006 27646","4958","11886 4959","9 34 9068 5530 858 18852 30677 7466","4 22 348 453 211 19 218 373 16 122 304 160 0 3 314","0 0 0 0 2 12 27 55 17 1 0 0","111 10 1 0 0"
77130,"Sid Meier's Civilization: The Board Game",2010,240,120,240,13,2,4,"1029 1015 1020 1026 1101","2041 2664 2676 2040 2011 2003 2008 2015","12210 22642","2336","24858","3320 23043 6194 2973 22560 17 4617 5530 264 1391 18852 8291 3888 9234","0 8 139 25 145 59 51 163 19 202 56 10 5 15 87","0 0 0 0 0 1 5 21 45 17 3 1","1 1 12 97 11"
63628,"The Manhattan Project",2012,120,120,120,13,2,5,"2650 1021 1046 1088 1026 1049","2041 2082","8374 27508 27646","9122","50825 22568 11868","157 31815 23760 23031 22652 13433 27777","0 2 56 8 46 26 30 52 5 59 34 2 10 46 29 0 0 43","0 0 0 0 0 2 9 7 1 1 0 0","26 2 1 0 0"
164153,"Star Wars: Imperial Assault",2014,120,60,120,14,2,5,"1022 1046 1047 1064 1016 1019","2072 2676 2011 2019 2028 2015","24281 5602 26488","72460 6651 78796","78030 19411 72509 69246 36621 48500 24858 47549 104761 68942 49280","15889 2973 17 4617 15605 264","2 9 139 123 61 20 48 113 25 29 113 42 156 36 15 1 5 112","0 0 1 0 2 12 15 31 9 2 0 1","0 1 8 48 10"
18,"RoboRally",1994,120,45,120,12,2,8,"1059 1047 1031 1016","2689 2676 2011 2020","22232","14","12500 28513 616 14508 18431 28512 11883 18317","267 8 4871 51 7365 13","0 4 155 7 54 136 15 129 55 84 118 11 140 68 7 135 64 11 52 104 38 48 101 43 6 14 105","0 0 0 0 2 20 31 18 4 0 0 0","7 22 48 1 0"
2987,"Pirate's Cove",2002,90,60,90,8,3,5,"1022 1046 1008 1090","2072 2040 2007 2020","","1225 1226","12519 11886 12833 12038","8 1027 3218","0 0 30 0 3 30 2 30 15 16 30 2 39 8 2 0 3 18","0 0 0 0 6 8 9 1 0 0 0 1","0 5 12 0 0"
182028,"Through the Ages: A New Story of Civilization",2015,240,180,240,14,2,4,"1002 1015 1021","2001 2012 2041 2040","27646","789","94497 11961","10768 7345 2366 23205 597 29194 8820 264 8923 7992 30552 7466","4 5 121 67 137 13 165 48 5 26 118 59 0 0 119","0 0 0 0 0 0 0 8 33 5 1 1","0 0 6 32 3"
97786,"Small World Underground",2011,90,30,90,8,2,5,"1010 1046 1086","2046 2072 2015","3868","49","12016 12519","1027 2973 5530 1391 7466","0 1 36 10 28 15 18 27 6 43 8 1 14 30 5 0 1 28","0 0 1 0 1 9 5 6 0 0 0 0","3 8 16 0 0"
1829,"Risk 2210 A.D.",2001,240,240,240,10,2,5,"1016 1019","2080 2046 2012 2072 2079","4218","442 262","","4871","1 0 40 1 14 34 6 39 6 41 14 1 41 9 1 0 3 25","0 0 0 0 0 2 8 7 2 0 0 0","0 4 13 4 0"
2921,"The Game of Life",1960,60,60,60,8,2,6,"1041 1021","2035 2070","5607 7332 5602 5860","1260 75583","","404 3626 1731 13103 51 8182 2721 4539 8931 17039 17072 4554 6290 20 5808 59","3 2 34 4 19 19 8 30 4 32 10 4 13 20 6 6 23 9 3 1 29","0 0 3 4 20 9 0 0 0 0 0 0","0 1 23 3 0"
168435,"Between Two Cities",2015,20,20,20,8,1,7,"1029 1026","2041 2019 2004 2002","8374","65581 71006 60749","71164","3475 9068 4785 28323 36563 33010 23202","2 17 32 2 18 35 11 35 14 25 34 4 38 23 0 38 23 1 24 31 4 2 3 22","0 0 0 0 3 13 9 2 0 0 0 0","21 1 0 0 0"
193738,"Great Western Trail",2016,150,75,150,12,2,4,"1055","2664 2040 2078 2002","7530 37838","11767","11898","1015 267 3475 9068 11043 6194 24883 155 5812 30399 39 11652 17786 1466","0 8 95 31 132 12 134 49 1 55 85 27 0 0 78","0 0 0 0 0 0 5 22 16 2 0 0","12 0 0 0 0"
34499,"Race for the Galaxy: The Gathering Storm",2008,60,60,60,12,1,5,"1002 1015 1021 1042 1016 1113","2040 2020 2079 2015","4571 5666","150","11968 11902","29 8500 9465 4785 7251 1391 18852 3 2861","24 65 31 68 63 1 53 77 0 55 68 2 23 74 16 0 6 57","0 0 0 0 0 2 2 17 5 3 0 0","1 25 21 0 0"
